TID,Comment,WeaponType,SkillTID,DX2,DY2,NextTID
核心价值,企划自用,武器区分,技能编号,技能形象 X坐标,技能形象 Y坐标,箭符号贴的 TID 编号
,,,,,,
U16,CBwString,U8,U32,U32,U32,U16
1,矛的基本攻击,1,1,111,22,
2,聚在一起击刺 (1阶段),1,21,201,22,
3,震动击刺 (1阶段),1,61,291,22,
4,牵制击刺 (1阶段),1,31,381,22,
5,挑战的咆哮 (1阶段),1,121,471,22,
6,腿部贯穿 (1阶段),1,51,561,22,
7,憎恶的魔掌,1,91,651,22,
8,钢铁体力 (1阶段),1,41,21,22,
9,猛烈的击刺 (1阶段),1,131,291,202,
10,挑战的呐喊 (1阶段),1,171,381,202,
11,盾牌格挡,1,181,561,202,
12,铠甲愈合 (1阶段),1,251,651,202,
13,防御的咆哮 (1阶段),1,81,21,112,
14,?聚齐贯穿 (1阶段),1,401,111,292,
15,震动贯穿 (1阶段),1,421,291,292,
16,撞击灵魂 (1阶段),1,151,381,292,
17,取下防护盾牌 (1阶段),1,191,471,292,
18,包装 (1阶段),1,301,561,292,
19,保护的咆哮 (1阶段),1,141,21,202,
20,震动穿刺 (1阶段),1,431,111,382,
21,盾牌强击(1阶段),1,211,201,382,
22,威胁盾牌 (1阶段),1,271,291,382,
23,旋转盾牌 (1阶段),1,201,471,382,
24,钢铁体力 (1阶段),1,381,21,472,
25,猛烈的穿刺 (1阶段),1,451,111,472,
26,迅速的击刺 (1阶段),1,241,201,472,
27,鬼魂猛打(1阶段),1,471,381,472,
28,减速波动 (1阶段),1,311,471,472,
29,建立盾牌,1,231,561,472,
30,最后的气势 (1阶段),1,321,651,472,
31,铁壁般的保护 (1阶段),1,391,21,562,
32,糟毁大地 (1阶段),1,291,201,562,
33,深深的痛苦 (1阶段),1,331,291,562,
34,可怕的波动 (1阶段),1,351,471,562,
35,拖住网 (1阶段),1,361,651,562,
36,解除以上状态 (1阶段),1,491,21,382,
37,竹杖基本攻击,2,3011,111,22,
38,火焰之光 (1阶段),2,3031,201,22,
39,从轻处罚 (1阶段),2,3061,291,22,
40,能量回收 (1阶段),2,3041,381,22,
41,庇佑恢复 (1阶段),2,3081,471,22,
42,赦免 (1阶段),2,3101,651,22,
43,眼睛治愈 (1阶段),2,3051,21,22,
44,毁灭之光 (1阶段),2,3171,111,202,
45,地狱的火柱 (1阶段),2,3131,291,202,
46,祝福的闪光 (1阶段),2,3111,471,202,
47,苦行 (1阶段),2,3151,561,202,
48,内部洞察 (1阶段),2,3091,21,112,
49,圣神的火球 (1阶段),2,3481,111,292,
50,生命的起源 (1阶段),2,3141,291,292,
51,回生的起源 (1阶段),2,3401,381,292,
52,光明 (1阶段),2,3161,471,292,
53,恩典的闪烁 (1阶段),2,3441,561,292,
54,忏悔 (1阶段),2,3191,651,292,
55,生命的保佑 (1阶段),2,3121,21,202,
56,天使的惩戒 (1阶段),2,3501,111,382,
57,圣神的恩典 (1阶段),2,3421,291,382,
58,集中恢复 (1阶段),2,3351,561,382,
59,援助之手 (1阶段),2,3251,651,382,
60,慈爱的眼神 (1阶段),2,3461,21,472,
61,地狱的气息 (1阶段),2,3521,111,472,
62,冻结螺旋钻 (1阶段),2,3281,201,472,
63,治疗之赐 (1阶段),2,3221,381,472,
64,光辉(1阶段),2,3231,471,472,
65,寒冷的天气 (1阶段),2,3261,561,472,
66,复活 (1阶段),2,3391,651,472,
67,灵魂的洞察力 (1阶段),2,3471,21,562,
68,痛苦之光(1阶段),2,3331,201,562,
69,光明的恩典 (1阶段),2,3311,291,562,
70,恢复魔法 (1阶段),2,3361,381,562,
71,恐惧 (1阶段),2,3301,561,562,
72,解除以上状态 (1阶段),2,3541,21,382,
73,斧子的基本攻击,3,6011,111,22,
74,疯狂的斧子 (1阶段),3,6031,201,22,
75,血的价格 (1阶段),3,6081,291,22,
76,土地破甲 (1阶段),3,6071,381,22,
77,身体冲击 (1阶段),3,6041,471,22,
78,突击 (1阶段),3,6111,651,22,
79,健康的身体 (1阶段),3,6061,21,22,
80,消失的 斧子 (1阶段),3,6171,291,202,
81,血腥波动 (1阶段),3,6151,381,202,
82,精神隔断 (1阶段),3,6191,561,202,
83,追击的风 (1阶段),3,6181,651,202,
84,恶毒的破坏者 (1阶段),3,6141,21,112,
85,狂奔的一击 (1阶段),3,6371,111,292,
86,愤怒的波动（1阶段）,3,6201,381,292,
87,大地破裂（1阶段）,3,6441,291,292,
88,身体打击（1阶段）,3,6521,471,292,
89,心里打击（1阶段）,3,6131,561,292,
90,战士的坚强（1阶段）,3,6211,651,292,
91,力量的怒吼（1阶段）,3,6101,21,202,
92,血的打击（1阶段）,3,6391,111,382,
93,打击破坏（1阶段）,3,6231,201,382,
94,割新月（1阶段）,3,6251,381,382,
95,血腥冲击波（1阶段）,3,6461,291,382,
96,神经损伤（1阶段）,3,6271,471,382,
97,土地的冲击（1阶段）,3,6241,561,382,
98,锻炼成体（1阶段）,3,6501,21,472,
99,猛击地面（1阶段）,3,6421,111,472,
100,黑暗斧子（1阶段,3,6281,201,472,
101,怒的冲击波（1阶段）,3,6481,291,472,
102,骨头断裂（1阶段）,3,6291,561,472,
103,渴求生命（1阶段）,3,6301,651,472,
104,无情的破坏者（1阶段）,3,6511,21,562,
105,爆炸废墟（1阶段）,3,6321,201,562,
106,满月斩（1阶段）,3,6311,291,562,
107,加宽（1阶段）,3,6341,651,562,
108,解除以上状态（1阶段）,3,6541,21,382,
109,弓基本攻击,4,9011,111,22,
110,利箭（1阶段）,4,9031,201,22,
