TID,Comment,NPCTID,AiTID,GoalTID,Time,AreaTID,AS,RS
人物,企划者用,NPC号码,AIDB_AttributesRecord,AIDB_GoalSetRecord,召唤时间,召唤坐标,攻击速度,移动速度
,,,,,,,,
U32,CBwString,U32,U32,U32,U32,U32,U16,U16
1,,300001,,,30000,0,,
2,,300002,,,30000,0,,
3,,300003,,,30000,0,,
4,,300004,,,30000,0,,
5,,300005,,,30000,0,,
11,,300011,,,30000,0,,
12,,300012,,,30000,0,,
13,,300013,,,30000,0,,
14,,300014,,,30000,0,,
15,,300015,,,30000,0,,
21,,300021,,,30000,0,,
22,,300022,,,30000,0,,
23,,300023,,,30000,0,,
24,,300024,,,30000,0,,
25,,300025,,,30000,0,,
31,,300031,,,30000,0,,
32,,300032,,,30000,0,,
33,,300033,,,30000,0,,
34,,300034,,,30000,0,,
35,,300035,,,30000,0,,
41,,300041,,,30000,0,,
42,,300042,,,30000,0,,
43,,300043,,,30000,0,,
44,,300044,,,30000,0,,
45,,300045,,,30000,0,,
51,,300051,,,30000,0,,
52,,300052,,,30000,0,,
53,,300053,,,30000,0,,
54,,300054,,,30000,0,,
55,,300055,,,30000,0,,
251,,300251,,,30000,0,,
252,,300252,,,30000,0,,
253,,300253,,,30000,0,,
254,,300254,,,30000,0,,
255,,300255,,,30000,0,,
261,,300261,,,30000,0,,
262,,300262,,,30000,0,,
263,,300263,,,30000,0,,
264,,300264,,,30000,0,,
265,,300265,,,30000,0,,
271,,300271,,,30000,0,,
272,,300272,,,30000,0,,
273,,300273,,,30000,0,,
274,,300274,,,30000,0,,
275,,300275,,,30000,0,,
281,,300281,,,30000,0,,
282,,300282,,,30000,0,,
283,,300283,,,30000,0,,
284,,300284,,,30000,0,,
285,,300285,,,30000,0,,
291,,300291,,,30000,0,,
292,,300292,,,30000,0,,
293,,300293,,,30000,0,,
294,,300294,,,30000,0,,
295,,300295,,,30000,0,,
301,,300301,,,30000,0,,
302,,300302,,,30000,0,,
303,,300303,,,30000,0,,
304,,300304,,,30000,0,,
305,,300305,,,30000,0,,
501,,300501,,,20000,0,,
502,,300502,,,20000,0,,
503,,300503,,,20000,0,,
504,,300504,,,20000,0,,
505,,300505,,,20000,0,,
511,,300511,,,30000,0,,
512,,300512,,,30000,0,,
513,,300513,,,30000,0,,
514,,300514,,,30000,0,,
515,,300515,,,30000,0,,
521,,300521,,,30000,0,,
522,,300522,,,30000,0,,
523,,300523,,,30000,0,,
524,,300524,,,30000,0,,
525,,300525,,,30000,0,,
531,,300531,,,30000,0,,
532,,300532,,,30000,0,,
533,,300533,,,30000,0,,
534,,300534,,,30000,0,,
535,,300535,,,30000,0,,
541,,300541,,,30000,0,,
542,,300542,,,30000,0,,
543,,300543,,,30000,0,,
544,,300544,,,30000,0,,
545,,300545,,,30000,0,,
751,,300751,,,20000,0,,
752,,300752,,,20000,0,,
753,,300753,,,20000,0,,
754,,300754,,,20000,0,,
755,,300755,,,20000,0,,
761,,300761,,,30000,0,,
762,,300762,,,30000,0,,
763,,300763,,,30000,0,,
764,,300764,,,30000,0,,
765,,300765,,,30000,0,,
771,,300771,,,30000,0,,
772,,300772,,,30000,0,,
773,,300773,,,30000,0,,
774,,300774,,,30000,0,,
775,,300775,,,30000,0,,
781,,300781,,,30000,0,,
782,,300782,,,30000,0,,
783,,300783,,,30000,0,,
784,,300784,,,30000,0,,
785,,300785,,,30000,0,,
791,,300791,,,30000,0,,
792,,300792,,,30000,0,,
793,,300793,,,30000,0,,
794,,300794,,,30000,0,,
795,,300795,,,30000,0,,
1001,,170003,,,300000,0,,
1002,,301000,,,300000,0,,
1003,咒术师帕朗突然地攻击（9029）使用技能“狼来了”,170302,,,60000,0,,
1004,洛坎德纳勒（1044）使用技能“召唤娃娃”,150024,,,60000,0,,
1005,火焰之眼（12 027）使用技能“召唤爪牙”,150302,,,60000,0,,
1006,指挥官萨斯尔的克朗（1026）使用技能“召唤哈比”,170404,,,60000,0,,
1007,尸体术士欧蒂姆（1005）使用技能“召唤钥匙骑士警备兵）,170501,,,60000,0,,
1008,黑暗米内斯（1025）使用技能“召唤堕落灵魂”,150509,,,60000,0,,
1009,使用被污染的狼王卢卡斯（5068）使用黑暗魔掌王克拉伍德（1050）技能“召唤黑暗之狼”,150603,,,60000,0,,
