TID,Type,EngDesc,LocalDesc
区分,1情况时加载画面上的输出提示,英文提示输出内容,韩文提示输出内容
2,,,
U16,U8,CBwString,CBwString
1,1,TPT_Desc_000001,<TC'255:255:0' Text'帮助语 :'/>任务目标在屏幕右侧/点击任务进行情况将会移动至任务目标区域。
2,1,TPT_Desc_000002,<TC'255:255:0' Text'帮助语 :'/>去找NPC铁匠可以进行物品的修理和分解
3,1,TPT_Desc_000003,<TC'255:255:0' Text'帮助语 :'/>去找技师NPC可以进行元素石的强化和安装/分解。
4,1,TPT_Desc_000004,<TC'255:255:0' Text'帮助语 :'/>公会20级以后可以创建。
5,1,TPT_Desc_000005,<TC'255:255:0' Text'帮助语 :'/>一旦选定阵营将不能改变。
6,1,TPT_Desc_000006,<TC'255:255:0' Text'帮助语 :'/>使用快速替换武器插槽，可以战斗中快速更换武器。
7,1,TPT_Desc_000007,<TC'255:255:0' Text'帮助语 :'/>如果你分解一个物品，可获得材料和强化材料。
8,1,TPT_Desc_000008,<TC'255:255:0' Text'帮助语 :'/>物品的耐久性如果消耗尽了，必须找到一个铁匠NPC进行修复。
9,1,TPT_Desc_000009,<TC'255:255:0' Text'帮助语 :'/>物品装备元素石时能力会的到提高。
10,1,TPT_Desc_000010,<TC'255:255:0' Text'帮助语 :'/>物品强化需要强化的材料。
11,1,TPT_Desc_000011,<TC'255:255:0' Text'帮助语 :'/>当角色死亡，经验值和物品耐久度会大幅降低。
12,1,TPT_Desc_000012,<TC'255:255:0' Text'帮助语 :'/>在队伍中进行游戏时，经验和金钱的获得量会增加。
13,1,TPT_Desc_000013,<TC'255:255:0' Text'帮助语 :'/>通过队伍匹配系统，你可以轻松地匹配到你的队伍。
14,1,TPT_Desc_000014,<TC'255:255:0' Text'帮助语 :'/>团队最多允许20人进行匹配。
15,1,TPT_Desc_000015,<TC'255:255:0' Text'帮助语 :'/>队伍的威胁的显示界面，当队伍处于团队状态时也可使用。
16,1,TPT_Desc_000016,<TC'255:255:0' Text'帮助语 :'/>当人物等级提升时会获得一个属性点。
17,1,TPT_Desc_000017,<TC'255:255:0' Text'帮助语 :'/>武器的熟练度等级提升时，你会获得技能点。
18,1,TPT_Desc_000018,<TC'255:255:0' Text'帮助语 :'/>不同的主武器可以选择学习不同的特定技能。
19,1,TPT_Desc_000019,<TC'255:255:0' Text'帮助语 :'/>如果一个角色杀死一个敌对阵营角色，获得声望点数。
20,1,TPT_Desc_000020,<TC'255:255:0' Text'帮助语 :'/>你可以使用声望点数来购买一个PVP专用物品和饰品。
21,1,TPT_Desc_000021,<TC'255:255:0' Text'帮助语 :'/>大规模战场40级以后可以参加。
22,1,TPT_Desc_000022,<TC'255:255:0' Text'帮助语 :'/>大规模战场是由每天每周都不相同的许多种类组成。
23,1,TPT_Desc_000023,<TC'255:255:0' Text'帮助语 :'/>战争硬币可以在一个大型战场上得到。
24,1,TPT_Desc_000024,<TC'255:255:0' Text'帮助语 :'/>小型战场的参加没有日期和时间的限制。
25,1,TPT_Desc_000025,<TC'255:255:0' Text'帮助语 :'/>小型战场30级以后可以参加。
26,1,TPT_Desc_000026,<TC'255:255:0' Text'帮助语 :'/>进入小型战场需要消耗入场卷
27,1,TPT_Desc_000027,<TC'255:255:0' Text'帮助语 :'/>生产由[武器]，[铠]，[珠宝]，[药水]，[烹调]一共五个部分组成。
28,1,TPT_Desc_000028,<TC'255:255:0' Text'帮助语 :'/>采集由[矿产]，[植物]，[埃塞尔]共有三个部分组成。
29,1,TPT_Desc_000029,<TC'255:255:0' Text'帮助语 :'/>地下城有[普通]，[困难]，[非常困难]，[地狱]4个难度级别。
30,1,TPT_Desc_000030,<TC'255:255:0' Text'帮助语 :'/>通过匹配地下城，你可以在任何位置立即进入地下城。
31,1,TPT_Desc_000031,<TC'255:255:0' Text'帮助语 :'/>属性为[力量]，[智力]，[精神力]，[敏捷]一共四个。
32,1,TPT_Desc_000032,<TC'255:255:0' Text'帮助语 :'/>装备武器，没有任何限制。
33,1,TPT_Desc_000033,<TC'255:255:0' Text'帮助语 :'/>如果角色的武器熟练度低于武器的等级要求实力会下降
34,1,TPT_Desc_000034,<TC'255:255:0' Text'帮助语 :'/>种族武器只有限定的种族可以装备。
35,1,TPT_Desc_000035,<TC'255:255:0' Text'帮助语 :'/>如果角色死亡，装备的耐久度会大幅度降低。
36,1,TPT_Desc_000036,<TC'255:255:0' Text'帮助语 :'/>在战斗状态下，无法退出游戏。
37,1,TPT_Desc_000037,<TC'255:255:0' Text'帮助语 :'/>护卫任务中，距离护卫目标过远即视为失败。
38,1,TPT_Desc_000038,<TC'255:255:0' Text'帮助语 :'/>仓库中的物品账号上的所有角色都可以使用。
39,1,TPT_Desc_000039,<TC'255:255:0' Text'帮助语 :'/>按住Shift +鼠标左键点击一个物品，你可以把物品拆分。
40,1,TPT_Desc_000040,<TC'255:255:0' Text'帮助语 :'/>如果按下操作键（F）2次，你可以取出所有数量的物品。
41,1,TPT_Desc_000041,<TC'255:255:0' Text'帮助语 :'/>可以通过按下F12来获得帮助。
42,1,TPT_Desc_000042,<TC'255:255:0' Text'帮助语 :'/>按F10键，您可以录制视频。
43,1,TPT_Desc_000043,<TC'255:255:0' Text'帮助语 :'/>按R键，就可以自动奔跑。
44,1,TPT_Desc_000044,<TC'255:255:0' Text'帮助语 :'/>按H键，就可以看到一个大型战场信息。
45,1,TPT_Desc_000045,<TC'255:255:0' Text'帮助语 :'/>按J键，你可以看到一个小型战场信息。
46,1,TPT_Desc_000046,<TC'255:255:0' Text'帮助语 :'/>按下热键（，） 可以使用路线图。
47,1,TPT_Desc_000047,<TC'255:255:0' Text'帮助语 :'/>战争币能够更好的帮助你在大都市进行战斗。
48,1,TPT_Desc_000048,<TC'255:255:0' Text'帮助语 :'/>公会，拍卖师都位于阵营主城。
49,1,TPT_Desc_000049,<TC'255:255:0' Text'帮助语 :'/>您可以使用声望点数在声望商人处购买声望商品。
50,1,TPT_Desc_000050,<TC'255:255:1' Text'帮助语 :'/>魔法攻击量增加治疗量也会增加。
101,2,TPT_Desc_000051,<TC'255:255:0' Text'帮助语 :'/>占领圣物一定时间占领分数就会增加。
102,2,TPT_Desc_000052,<TC'255:255:0' Text'帮助语 :'/>时限内优先达到占领分数的阵营获胜。
103,2,TPT_Desc_000053,<TC'255:255:0' Text'帮助语 :'/>风沙降临时。伤害和移动速度都会降低。
104,2,TPT_Desc_000054,<TC'255:255:0' Text'帮助语 :'/>魔法阵会定期产生一个buff。
105,2,TPT_Desc_000055,<TC'255:255:0' Text'帮助语 :'/>占领圣物期间受到攻击的话占领失败。
111,2,TPT_Desc_000056,<TC'255:255:0' Text'帮助语 :'/>当你靠近敌对阵营时会受到警戒塔的攻击。
112,2,TPT_Desc_000057,<TC'255:255:0' Text'帮助语 :'/>每杀死一个敌人杀人数就会增加。
113,2,TPT_Desc_000058,<TC'255:255:0' Text'帮助语 :'/>魔法阵会定期产生一个buff。
114,2,TPT_Desc_000059,<TC'255:255:0' Text'帮助语 :'/>暴风雪来临时，伤害和移动速度会降低。
