TID,Comment,Owner,Trigger,Target,Action,ConUnion,ConLevel,ConQuest,Loop,TriggerMessageTarget,TriggerMessage
模式号码,企划者用,条件对象,条件,作用对象,作用效果,阵营条件,等级条件,要求条件,再动作,,
,,,,,,,,,,,
U32,CBwString,CBwString:v,CBwString:v,CBwString:v,CBwString:v,U8,U8,U32,U8,U8,CBwString
1,英雄战战开始时门开,Racewar|1,OnStart,Entity|300010,ChangeState|2,0,0,0,0,,
2,圣物争夺战战开始时门开,Racewar|2,OnStart,Entity|300009,ChangeState|2,0,0,0,0,,
3,暗杀战(古城箭开始时门开,Racewar|3,OnStart,Place|45046|45047|45048|45049|45051|45050|45052|45053|50237|50238|50239|50240|50241|50242|50243|50244,ChangeState|2,0,0,0,0,,
4,暗杀战(古城箭)当你达到一定的触发得分(目标),Racewar|3,OnScore|10000,Place|45079|45080,ChangeState|2,0,0,0,0,0,TRIGGERMSG_RACEWAR_ASSASSIN_CLEARSCORE_A
5,暗杀战(古城箭)当你达到一定的触发得分(破坏),Racewar|3,OnScore|10000,Place|45081|45082,ChangeState|2,1,0,0,0,1,TRIGGERMSG_RACEWAR_ASSASSIN_CLEARSCORE_D
6,城市进开始时门开(班迪路娜+斯蒂尔普瑞斯),Racewar|5,OnStart,Entity|300006|300013|300015|300016,ChangeState|2,0,0,0,0,,
7,大规模精英战(全面战开始时门开,Racewar|6,OnStart,Entity|300009,ChangeState|2,0,0,0,0,,
8,霸王争夺战(测试) 战开始时门开,Racewar|7,OnDeathMatch|0,Place|40171,ChangeState|2,0,0,0,0,,
9,霸王争夺战(测试) 战开始时门开,Racewar|7,OnDeathMatch|1,Place|40172,ChangeState|2,0,0,0,0,,
10,霸王争夺战(测试) 战开始时门开,Racewar|7,OnDeathMatch|2,Place|40173,ChangeState|2,0,0,0,0,,
11,斯蒂尔普瑞斯西门入口(场地)斯蒂尔普瑞斯西门入口 西门出口(村子)到达,Area|50002,OnEnter,Actor,JumpArea|50003,0,0,0,0,,
12,斯蒂尔普瑞斯西门出口(村子)斯蒂尔普瑞斯西门入口 西门入口(场地)到达,Area|50004,OnEnter,Actor,JumpArea|50005,0,0,0,0,,
13,斯蒂尔普瑞斯南门入口(场地)斯蒂尔普瑞斯西门入口 南门出口(村子)到达,Area|50006,OnEnter,Actor,JumpArea|50007,0,0,0,0,,
14,斯蒂尔普瑞斯南门出口(村子)斯蒂尔普瑞斯西门入口 南门入口(场地)到达,Area|50008,OnEnter,Actor,JumpArea|50009,0,0,0,0,,
15,斯蒂尔普瑞斯东门入口(场地)斯蒂尔普瑞斯西门入口 东门出口(村子)到达,Area|50546,OnEnter,Actor,JumpArea|50545,0,0,0,0,,
16,斯蒂尔普瑞斯东门出口(村子)斯蒂尔普瑞斯西门入口 东门入口(场地)到达,Area|50544,OnEnter,Actor,JumpArea|50547,0,0,0,0,,
17,班迪路娜东门入口(场地)斯蒂尔普瑞斯西门入口 东门出口(村子)到达,Area|50010,OnEnter,Actor,JumpArea|50011,0,0,0,0,,
18,班迪路娜东门出口(村子)斯蒂尔普瑞斯西门入口 东门入口(场地)到达,Area|50012,OnEnter,Actor,JumpArea|50013,0,0,0,0,,
19,班迪路娜南门入口(场地)斯蒂尔普瑞斯西门入口 南门出口(村子)到达,Area|50014,OnEnter,Actor,JumpArea|50015,0,0,0,0,,
20,班迪路娜南门出口(村子)斯蒂尔普瑞斯西门入口 南门入口(场地)到达,Area|50016,OnEnter,Actor,JumpArea|50017,0,0,0,0,,
