TID,Type,Name,Attrib
,,,
2,,,
U32,U32,CBwString,CBwString
1000,0,default_midnight,RainAlpha|0|RainColor|15194057|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|10|RainScaleH|1.2|RainScaleV|0.8|RainSoundFile1|Mute_Sound_02.ogg|RainSpeed|0.8|
1001,0,default_dawn,RainAlpha|0|RainColor|16777088|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|10|RainScaleH|1.2|RainScaleV|0.8|RainSoundFile1|Mute_Sound_02.ogg|RainSpeed|0.8|
1002,0,default_midday,RainAlpha|0|RainColor|16777215|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|10|RainScaleH|1.2|RainScaleV|0.8|RainSoundFile1|Mute_Sound_02.ogg|RainSpeed|0.8|
1003,0,default_sunset,RainAlpha|0|RainColor|16777215|RainDropAlpha|0|RainDropAniSpeed|1|RainPlaneCount|10|RainScaleH|1.2|RainScaleV|0.8|RainSoundFile1|Mute_Sound_02.ogg|RainSpeed|0.8|
2000,1,deafult_midnight,SnowAlpha|0|SnowColor|16777215|SnowCount|500|SnowDropAlpha|0|SnowDropAniSpeed|1.0|SnowScale|1|SnowSoundFile1|Mute_Sound_02.ogg|SnowSpeed|1|
2001,1,default_dawn,SnowAlpha|0|SnowColor|16777215|SnowCount|500|SnowDropAlpha|0|SnowDropAniSpeed|1.0|SnowScale|1|SnowSoundFile1|Mute_Sound_02.ogg|SnowSpeed|1|
2002,1,default_midday,SnowAlpha|0|SnowColor|16777215|SnowCount|500|SnowDropAlpha|0|SnowDropAniSpeed|1.0|SnowScale|1|SnowSoundFile1|Mute_Sound_02.ogg|SnowSpeed|1|
2003,1,default_sunset,SnowAlpha|0|SnowColor|16777215|SnowCount|500|SnowDropAlpha|0|SnowDropAniSpeed|1.0|SnowScale|1|SnowSoundFile1|Mute_Sound_02.ogg|SnowSpeed|1|
3000,2,default_midnight,AmbColor|7290953|BloomPower|0.7|Dimmer|1.5|EnvColor|9064805|EnvLUTFile|LUT_Default.bmp|EnvSoundFile1|Area_default_midnight_01.ogg|FarDOF|0.1|FarDof|0.1|FogColor|4329997|FogDensity|0.4|FogDistance|0.04|FogExp|0|FogHeight|0.01|FogHeightColor|1770241|FogHeightMin|0|FogMin|0.85|Hue|1|LightExposure|1|LightGamma|1|NearDOF|0.001|RimColor|13671054|RimPower|1|SSSColor|43|Saturation|0.9|ShadowBrightness|0.25|ShadowColor|11042146|SkySpecularPower|2.5|SpecularBoost|0.85|
