TID,WorldTID,Type,Name,Pos,Rotation,Ambient,Diffuse,Specular,Dimmer,Radius,SpotIn,SpotOut
灯光,世界,灯光种类,名称,位置,旋转,Ambient,Diffuse,Specular,强度,半径,SpotIn,SpotOut
2,,,,,,,,,,,,
U32,U16,U8,CBwString,F32:v,F32:v,F32:v,F32:v,F32:v,F32,F32,F32,F32
1,1,0,LightPoint:0001,146.878|24.633|12.310,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|250.000,255.000|255.000|255.000,1,10,0,0
2,2,0,LightPoint:0002,147.748|24.935|12.583,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|255.000,255.000|255.000|255.000,1,8,0,0
3,3,0,LightPoint:0003,147.070|24.550|1.240,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,10,0,0
4,4,0,LightPoint:0004,146.790|25.050|1.880,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,1.5,20,0,0
5,2,0,LightPoint:0005,-4.650|-112.150|2.030,0.000|0.000|0.000,255.000|255.000|255.000,255.000|0.000|128.000,255.000|255.000|255.000,0.3,100,10,10
6,2,0,LightPoint:0006,8.190|-109.870|1.500,0.000|0.000|0.000,255.000|255.000|255.000,128.000|255.000|255.000,255.000|255.000|255.000,0.3,128,10,0
7,3,0,LightPoint:0007,148.550|59.540|4.270,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,3.5,100,0,0
8,3,0,LightPoint:0008,154.464|39.600|2.100,0.000|0.000|0.000,255.000|255.000|255.000,350.000|128.000|0.000,255.000|255.000|255.000,4,20,0,0
9,3,0,LightPoint:0009,134.720|40.030|2.190,0.000|0.000|0.000,255.000|255.000|255.000,350.000|128.000|0.000,255.000|255.000|255.000,4,25,0,0
10,4,0,LightPoint:0010,143.900|35.430|2.040,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,3,30,0,0
11,4,0,LightPoint:0011,157.670|42.130|1.370,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,3,30,0,0
12,1000,0,LightPoint:0012,267.210|342.032|15.391,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
13,1000,0,LightPoint:0013,265.333|357.983|15.391,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
14,1000,0,LightPoint:0014,245.952|352.542|16.941,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
15,1000,0,LightPoint:0015,244.683|334.156|20.374,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
16,1000,0,LightPoint:0016,241.300|182.330|13.502,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
17,1000,0,LightPoint:0017,252.703|195.021|13.502,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
18,1000,0,LightPoint:0018,269.882|168.882|18.239,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
19,1000,0,LightPoint:0019,271.319|185.858|18.239,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
20,1000,0,LightPoint:0020,332.610|341.360|19.331,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1.5,10,0,0
21,1000,0,LightPoint:0021,337.884|326.160|19.331,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1.5,10,0,0
22,1000,0,LightPoint:0022,333.682|353.860|20.243,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1.5,10,0,0
23,1000,0,LightPoint:0023,322.670|362.576|22.909,0.000|0.000|0.000,255.000|255.000|255.000,255.000|255.000|128.000,255.000|255.000|255.000,1.5,10,0,0
24,1000,0,LightPoint:0024,313.475|201.036|11.042,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
25,1000,0,LightPoint:0025,338.918|207.182|10.356,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,15,0,0
26,1000,0,LightPoint:0026,264.168|268.891|10.080,0.000|0.000|0.000,255.000|255.000|255.000,255.000|128.000|0.000,255.000|255.000|255.000,2,20,0,0
