TID,WorldTID,Name,Pos,Min,Max,Volume,
伴奏,世界,名称,位置,半径,最小距离,最大距离,音量
2,,,,,,,
U32,U16,CBwString,F32:v,F32,F32,F32,
1,2000,Amb_Fire_Bonfire_01.ogg,7043.44|7886.51|96.20,2,10,1,
2,2000,Amb_Fire_Bonfire_01.ogg,7047.76|7844.60|94.03,2,10,1,
3,2000,Amb_Fire_Bonfire_01.ogg,7012.37|7823.71|87.54,2,10,1,
4,2000,Amb_Fire_Bonfire_01.ogg,7025.43|7794.64|89.79,2,10,1,
5,2000,Amb_Fire_Bonfire_01.ogg,7008.05|7807.25|90.18,2,10,1,
6,2000,Amb_Fire_Bonfire_01.ogg,6993.33|7796.17|84.14,2,10,1,
7,2000,Amb_Fire_Bonfire_01.ogg,6983.21|7796.34|83.85,2,10,1,
8,2000,Amb_Fire_Bonfire_01.ogg,6990.49|7817.09|83.97,2,10,1,
9,2000,Amb_Fire_Bonfire_01.ogg,6993.59|7834.68|83.95,2,10,1,
10,2000,Amb_Fire_Bonfire_01.ogg,6991.81|7862.46|83.52,2,10,1,
11,2000,Amb_Fire_Bonfire_01.ogg,7005.93|7867.73|82.67,2,10,1,
12,2000,Amb_Fire_Bonfire_01.ogg,7001.61|7882.57|82.90,2,10,1,
13,2000,Amb_Fire_Bonfire_01.ogg,6990.17|7883.79|83.79,2,10,1,
14,2000,Amb_Fire_Bonfire_01.ogg,7020.21|7884.23|95.46,2,10,1,
15,2000,Amb_Water_Large_Valley_01.ogg,7063.79|7811.04|100.55,30,60,1,
16,2000,Amb_Fire_Bonfire_01.ogg,6976.00|7828.52|84.04,2,10,1,
17,2000,Amb_Fire_Bonfire_01.ogg,6975.46|7818.90|84.13,2,10,1,
18,2000,Amb_Obj_Large_machine_01.ogg,7043.28|7879.00|95.00,3.75,7.5,1,
19,2000,Amb_Water_Waterfall_01.ogg,6901.89|7930.83|64.64,12.75,25.5,1,
20,2000,Amb_Water_Waterfall_01.ogg,6898.60|7897.61|64.21,11.25,22.5,1,
21,2000,Amb_Fire_Bonfire_01.ogg,6787.33|7898.69|128.16,2,10,1,
22,2000,Amb_Fire_Bonfire_01.ogg,6799.27|7897.56|128.33,2,10,1,
23,2000,Amb_Fire_Bonfire_01.ogg,6785.40|7925.95|131.96,2,10,1,
24,2000,Amb_Fire_Bonfire_01.ogg,6785.40|7955.80|130.66,2,10,1,
25,2000,Amb_Fire_Bonfire_01.ogg,6815.70|8013.68|141.50,2,10,1,
26,2000,Amb_Fire_Bonfire_01.ogg,6770.25|8013.34|137.13,2,10,1,
27,2000,Amb_Fire_Bonfire_01.ogg,6779.04|7998.56|136.93,2,10,1,
28,2000,Amb_Fire_Bonfire_01.ogg,6786.34|7818.34|116.13,2,10,1,
29,2000,Amb_Fire_Bonfire_01.ogg,6909.45|7794.91|89.53,2,10,1,
30,2000,Amb_Fire_Bonfire_01.ogg,6862.59|7777.20|98.14,2,10,1,
31,2000,Amb_Fire_Bonfire_01.ogg,6820.50|7779.55|107.40,2,10,1,
32,2000,Amb_Fire_Bonfire_01.ogg,6886.88|7841.04|73.91,2,10,1,
33,2000,Amb_Fire_Bonfire_01.ogg,6838.82|7857.24|72.42,2,10,1,
34,2000,Amb_Fire_Bonfire_01.ogg,7004.81|7991.17|92.33,2,10,1,
35,2000,Amb_Fire_Bonfire_01.ogg,6911.40|7977.47|71.79,2,10,1,
36,2000,Amb_Fire_Bonfire_01.ogg,6967.14|8538.31|112.20,2,10,1,
37,2000,Amb_Fire_Bonfire_01.ogg,6980.05|8518.13|113.96,2,10,1,
38,2000,Amb_Fire_Bonfire_01.ogg,6847.62|8343.08|113.58,2,10,1,
39,2000,Amb_Fire_Bonfire_01.ogg,6936.70|8308.82|131.27,2,10,1,
