TID,Comment,EngName,LocalName,Type,WorldTID,ParentTID,Map,LoadingMap,TipTID,RoadMap,StartX,StartY,EndX,EndY,C1StartX,C1StartY,C1EndX,C1EndY,C2StartX,C2StartY,C2EndX,C2EndY,C3StartX,C3StartY,C3EndX,C3EndY
之后进入物质界的话 2000,企划者用,英文地域名,韩文地域名,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
U32,CBwString,CBwString,CBwString,U8,U16,U32,CBwString,U32:v,U16:v,CBwString:v,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32,F32
1000,,WMT_Name_000001,坎德拉大陆,1,2000,0,,,,,-5,9037,9492,2670,0,0,0,0,0,0,0,0,0,0,0,0
1100,,WMT_Name_000002,高级,2,2000,1000,,,,,-4,5852,4913,2558,0,0,0,0,0,0,0,0,0,0,0,0
1101,大城市,WMT_Name_000003,斯蒂尔普瑞斯,4,2500,1100,Aimhigh_SteelBreath.png,,,0_0,-177,554,703,-36,0,512,512,0,0,0,0,0,0,0,0,0
1102,高级场地,WMT_Name_000004,绿色草原,3,2000,1100,Aimhigh_Lohengrin.png,,,2_8|2_9|2_10|3_9|3_10,125,5680,2589,4029,1025,5632,2083,4608,769,4608,1536,4097,0,0,0,0
1103,高级场地,WMT_Name_000005,红岩荒芜地,3,2000,1100,Aimhigh_RedRock.png,,,2_7|3_6|3_7|3_8,125,4616,2589,2964,1536,4608,2049,4097,1025,4097,2049,3588,1536,3585,2049,3073
1104,高级场地,WMT_Name_000006,被遗忘的大地,3,2000,1100,Aimhigh_Forgotten Land.png,,,4_6|4_7|4_8|5_7|5_6,1156,4669,3620,3017,2048,4608,2560,4096,2048,4096,3072,3072,0,0,0,0
1105,高级场地,WMT_Name_000007,愤怒的山脉,3,2000,1100,Aimhigh_Wrath of the Mountains.png,,,5_8|5_9|6_9|7_9,2502,5165,4154,4056,2560,5120,4096,4608,2560,4608,3072,4096,0,0,0,0
1106,高级场地,WMT_Name_000008,拜德的大地,3,2000,1100,Aimhigh_LebenHast.png,,,7_8|6_8|6_7|7_7|7_8,2476,4681,4940,3029,3072,4608,4096,3584,3584,3584,4096,3072,0,0,0,0
1107,高级场地,WMT_Name_000009,平静的岛屿,3,2000,1100,Aimhigh_Lake Of Sanctuary.png,,,4_10|4_11,1476,6177,3132,5065,2048,6144,2560,5120,0,0,0,0,0,0,0,0
1200,,WMT_Name_000010,摧毁,2,2000,1000,,,,,3579,9217,8990,5597,0,0,0,0,0,0,0,0,0,0,0,0
1201,大城市,WMT_Name_000011,班迪路娜,4,2501,1200,Demolition_Bandi.png,,,0_0,-97,551,783,-39,0,512,512,0,0,0,0,0,0,0,0,0
