TID,WorldTID,PlaceType,PlaceTypeTID,Pos,Rotation,Radius,GroupNpc,State,WarView,PatrolPos
即时,世界安排,PlaceType,PlaceTypeTID,位置,Z轴心旋转,半径,NpcTable,State,WarView,PatrolPos
,,,,,,,,,,
U32,U16,U8,U32,F32:v,F32,F32,U64,U32,U8,F32:v
4,2500,2,200101,77.65|436.92|192.71,3.08,0,0,0,0,
6,2500,2,200101,63.04|430.73|192.71,1.22,0,0,0,0,
10,2500,2,118,87.63|441.89|193.28,3.6,0,0,0,0,
11,2500,2,119,50.47|361.01|186.27,1.34,0,0,0,0,
12,2500,2,120,440.10|446.98|192.52,2.97,0,0,0,0,
15,2500,2,121,437.95|444.59|192.52,6.08,0,0,0,0,
16,2500,2,121,439.99|443.18|192.52,0.04,0,0,0,0,
17,2500,2,121,438.47|440.21|192.52,5.38,0,0,0,0,
18,2500,2,121,437.39|441.50|192.52,2.9,0,0,0,0,
20,2500,2,122,462.40|363.46|186.27,4.49,0,0,0,0,
22,2500,2,123,459.69|365.83|186.27,3.43,0,0,0,0,
31,2500,2,129,470.72|299.69|175.59,4.53,0,0,0,0,
32,2500,2,130,470.80|303.32|175.59,4.29,0,0,0,0,
33,2500,2,101,203.27|200.31|162.51,0.31,0,0,0,0,
36,2500,2,105,197.57|201.20|162.51,6.27,0,0,0,0,
38,2500,2,102,192.06|201.57|162.51,0.09,0,0,0,0,
42,2500,2,109,56.06|156.92|180.58,1.45,0,0,0,0,
44,2500,2,113,336.42|97.59|175.59,6.13,0,0,0,0,
45,2500,2,112,420.28|173.73|175.59,2.92,0,0,0,0,
46,2500,2,111,445.76|65.94|176.44,5.12,0,0,0,0,
47,2500,2,115,380.65|106.94|175.59,3.14,0,0,0,0,
51,2500,2,114,387.09|366.26|186.27,3.14,0,0,0,0,
53,2500,2,132,256.85|424.24|209.96,3.07,0,0,0,0,
54,2500,2,131,115.82|410.69|192.71,4.69,0,0,0,0,
359,2500,2,109,191.10|418.63|205.76,3.14,0,0,0,0,
394,2500,2,1023,236.39|416.79|210.00,3.14,0,0,0,0,
433,2000,2,50503,6887.79|7954.73|63.98,3.14,0,0,0,0,
443,2000,2,50512,6993.57|8043.98|101.97,3.14,0,0,0,0,
448,2000,2,50512,6939.46|7967.66|83.23,0.37,0,0,0,0,
456,2000,2,50513,6973.95|7968.47|84.29,3.14,0,0,0,0,
461,2000,2,50513,7040.87|7955.13|99.30,3.14,0,0,0,0,
472,2000,2,50523,6871.15|8226.83|132.42,3.14,0,0,0,0,
500,2000,2,50532,7000.12|8133.88|116.62,3.14,0,0,0,0,
536,2000,2,50542,7029.31|8397.26|131.93,3.14,0,0,0,0,
545,2000,2,50551,6856.71|8460.94|105.96,3.14,0,0,0,0,
546,2000,2,50551,6852.16|8434.80|103.95,2.77,0,0,0,0,
560,2000,2,50552,6818.15|8508.30|92.77,3.14,0,0,0,0,
577,2000,2,50571,7162.91|8544.31|139.21,3.14,0,0,0,0,
601,2501,2,50005,199.89|402.04|138.85,1.14,0,0,0,0,
604,2501,2,50007,201.67|430.52|138.85,3.14,0,0,0,0,
605,2501,2,50011,451.00|122.16|132.72,3.79,0,0,0,0,
607,2501,2,50012,114.62|140.33|139.90,6.07,0,0,0,0,
608,2501,2,50009,206.86|73.98|142.78,5.12,0,0,0,0,
611,2501,2,50015,400.69|147.84|132.72,5.01,0,0,0,0,
616,2501,2,50031,119.33|385.64|142.80,5.94,0,0,0,0,
617,2501,2,50020,442.06|384.48|169.07,3.14,0,0,0,0,
618,2501,2,50021,434.69|381.50|169.07,0.53,0,0,0,0,
619,2501,2,50021,436.28|387.91|169.07,1.37,0,0,0,0,
623,2501,2,50021,438.39|382.21|169.07,0.56,0,0,0,0,
624,2501,2,50022,381.57|446.46|169.11,4.44,0,0,0,0,
627,2501,2,50023,380.74|442.45|169.11,5.78,0,0,0,0,
628,2501,2,50023,384.49|444.12|169.07,4.89,0,0,0,0,
629,2501,2,50023,385.25|446.90|169.07,4.23,0,0,0,0,
632,2501,2,50028,167.83|388.25|138.85,4.89,0,0,0,0,
637,2501,2,50029,127.55|215.33|132.72,2.65,0,0,0,0,
638,2501,2,50016,115.72|438.86|142.80,6.25,0,0,0,0,
639,2501,2,50017,129.50|467.03|142.80,3.14,0,0,0,0,
642,2501,2,50017,118.13|442.46|142.80,3.14,0,0,0,0,
643,2501,2,50017,129.51|461.53|142.80,3.14,0,0,0,0,
644,2501,2,50017,125.06|466.71|142.80,3.14,0,0,0,0,
647,2501,2,50017,113.95|442.55|142.80,3.14,0,0,0,0,
651,2501,2,50018,89.63|449.60|147.80,3.06,0,0,0,0,
653,2000,2,51001,6990.35|7846.30|81.93,1.38,0,0,0,0,
655,2000,2,51004,7004.70|7863.52|81.93,4.54,0,0,0,0,
656,2000,2,51005,6990.72|7850.43|81.93,1.83,0,0,0,0,
657,2000,2,51006,6889.79|8029.52|79.24,1.45,0,0,0,0,
