TID,Type,LoadType,ContentsLimit,Name,EngName,Channel,MapX,MapY,MapSizeX,MapSizeY,WorldProperty,RebirthTime,Human_Pos,Human_Pos1,Human_Pos2,Human_Invasion,Human_Radius,MoonElf_Pos,MoonElf_Pos1,MoonElf_Pos2,MoonElf_Invasion,MoonElf_Radius,DragonScion_Pos,DragonScion_Pos1,DragonScion_Pos2,DragonScion_Invasion,DragonScion_Radius,Orc_Pos,Orc_Pos1,Orc_Pos2,Orc_Invasion,Orc_Radius,SunFilePath,Desc
,"2= 字段, 4= 即时, 6= 大规模战场, 7= 小规模战场","0 = Seamless, 1 = Zone","1 =不允许坐骑 , 2 = PVP不能 4 = 不可交易  8 = 无个体商店",1=共同(人物选择等).1000=战场.2000=世界.3000=地下城.4000=即时.5000=闲置.10000=测试.人物工具,,频道,横向个数,竖向个数,地图宽度,地图宽度,"共同使用的环境值(光, 环境音乐, 瓷属性, 小地图)",复活时间,1号 人类起点,2号 人类起点,3号 人类起点,人类城市进攻坐标值,人类开始半径,1号 月精灵起点,2号 月精灵起点,3号 月精灵起点,月精灵城市进攻坐标值,月精灵起点,1号 龙之复仇者起点,2号 龙之复仇者起点,3号 龙之复仇者起点,龙之复仇者城市进攻坐标值,龙之复仇者起点,1号 兽族起点,2号 兽族起点,3号 兽族起点,兽族城市进攻坐标值,兽族起点,太阳方向文件,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U16,U32,U8,U32,CBwString,CBwString,U8,U16,U16,U16,U16,U16,U32,F32:v,F32:v,F32:v,F32:v,F32,F32:v,F32:v,F32:v,F32:v,F32,F32:v,F32:v,F32:v,F32:v,F32,F32:v,F32:v,F32:v,F32:v,F32,string,CBwString
1,0,1,3,人物生成(高级),CreateAimhigh,0,1,1,256,256,1,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_ch_create.nif,人物生成
2,0,1,3,人物生成(删除),CreateDemolition,0,1,1,256,256,2,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_ch_create.nif,人物生成
3,0,1,3,人物选择(高级),SelectAimhigh,0,1,1,256,256,3,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_lockedup.nif,人物选择
4,0,1,3,人物选择(删除),SelectDemolition,0,1,1,256,256,4,0,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,0.00|0.00|0.00,0.00|0.00|0.00,0.00|0.00|0.00,,,sun_lockedup.nif,人物选择
1004,6,1,13,霸王之决(测试用),Deathmatch,0,1,1,512,512,1004,4000,255.988|358.315|59.529,167.482|204.450|59.524,345.042|205.153|59.528,,17,255.988|358.315|59.529,167.482|204.450|59.524,345.042|205.153|59.528,,17,255.988|358.315|59.529,167.482|204.450|59.524,345.042|205.153|59.528,,17,255.988|358.315|59.529,167.482|204.450|59.524,345.042|205.153|59.528,,17,sun_roomlight.nif,贝德尔克劳德
1005,6,1,2,城市进攻-斯蒂尔普瑞斯 - 大规模战场,,0,1,1,512,512,1005,10000,255.451|386.528|205.417,88.521|364.798|186.273,441.936|359.900|186.273,,5,255.77|112.62|162.68,42.65|236.42|176.47,468.32|236.22|177.36,,5,255.451|386.528|205.417,88.521|364.798|186.273,441.936|359.900|186.273,,5,255.77|112.62|162.68,42.65|236.42|176.47,468.32|236.22|177.36,,5,sun_roomlight.nif,城市
1006,6,1,2,城市进攻-班迪路娜 - 大规模战场,,0,1,1,512,512,1006,10000,258.266|107.316|142.777,258.266|107.316|142.777,99.963|259.68|142.80,,5,427.111|259.462|142.656,427.111|259.462|142.656,296.18|416.931|132.822,,3,258.266|107.316|142.777,258.266|107.316|142.777,99.963|259.68|142.80,,5,427.111|259.462|142.656,427.111|259.462|142.656,296.18|416.931|132.822,,3,sun_roomlight.nif,城市
1007,6,1,2,英雄战 - 大规模战场,Hero,0,1,1,512,512,1007,10000,108.40|407.92|44.92,233.19|453.18|42.50,59.08|257.88|36.48,,5,403.71|110.19|45.26,277.55|56.61|42.20,451.68|255.17|36.15,,5,108.40|407.92|44.92,233.19|453.18|42.50,59.08|257.88|36.48,,5,403.71|110.19|45.26,277.55|56.61|42.20,451.68|255.17|36.15,,5,sun_roomlight.nif,贝德尔克劳德
1008,6,1,2,物品占领战- 大规模战场,Occupation,0,1,1,512,512,1008,10000,253.70|473.79|22.12,387.52|410.62|7.44,132.70|415.26|7.47,,5,252.30|39.30|21.91,131.81|96.38|7.32,375.37|98.21|7.39,,5,253.70|473.79|22.12,387.52|410.62|7.44,132.70|415.26|7.47,,5,252.30|39.30|21.91,131.81|96.38|7.32,375.37|98.21|7.39,,5,sun_roomlight.nif,贝德尔克劳德
1009,6,1,3,古_暗杀战 之后用,Assassin,0,1,1,512,512,1009,10000,488.58|491.63|57.54,256.15|33.28|52.21,256.15|33.28|52.21,,5,23.33|21.75|57.32,254.18|483.46|52.14,254.18|483.46|52.14,,5,488.58|491.63|57.54,256.15|33.28|52.21,256.15|33.28|52.21,,5,23.33|21.75|57.32,254.18|483.46|52.14,254.18|483.46|52.14,,5,sun_roomlight.nif,贝德尔克劳德
1010,6,1,2,物品破坏战 - 大规模战场,Destroy,0,1,1,512,512,1010,10000,109.08|260.29|22.07,140.60|131.64|13.61,140.60|131.64|13.61,,5,400.97|262.10|22.02,372.16|131.80|13.60,372.16|131.80|13.60,,5,109.08|260.29|22.07,140.60|131.64|13.61,140.60|131.64|13.61,,5,400.97|262.10|22.02,372.16|131.80|13.60,372.16|131.80|13.60,,5,sun_roomlight.nif,贝德尔克劳德
1011,6,1,2,大规模精英战 - 大规模战场,RaceWar,0,1,1,512,512,1011,10000,244.61|445.64|7.57,244.61|445.64|7.57,384.58|397.35|16.38,,5,264.66|71.78|5.73,264.66|71.78|5.73,130.15|129.05|16.11,,5,244.61|445.64|7.57,244.61|445.64|7.57,384.58|397.35|16.38,,5,264.66|71.78|5.73,264.66|71.78|5.73,130.15|129.05|16.11,,5,sun_roomlight.nif,贝德尔克劳德
1012,6,1,2,暗杀战 - 大规模战场,Sagitta,0,1,1,512,512,1012,10000,431.56|496.95|30.18,431.56|496.95|30.18,79.48|11.96|30.18,,5,79.33|499.83|30.18,79.33|499.83|30.18,431.56|12.41|30.32,,5,431.56|496.95|30.18,431.56|496.95|30.18,79.48|11.96|30.18,,5,79.33|499.83|30.18,79.33|499.83|30.18,431.56|12.41|30.32,,5,sun_roomlight.nif,贝德尔克劳德
